Count,Name,Theme,Minifigs,Subtheme,Desc,Prices,Pieces,Year
0,700-12,System,N/A,Basic Set,700-12: Automatic Binding Bricks,N/A,N/A,1949
1,700_1_1-1,System,N/A,Supplemental,700_1_1-1: Individual 2 x 4 Bricks,N/A,N/A,1950
2,700_1_2-1,System,N/A,Supplemental,700_1_2-1: Individual 2 x 2 Bricks,N/A,N/A,1950
3,700_A-1,System,N/A,Basic Set,700_A-1: Automatic Binding Bricks Small Brick Set (Lego Mursten),N/A,N/A,1950
4,700_B_1-1,System,N/A,Supplemental,700_B_1-1: Individual 1 x 4 x 2 Window (without glass),N/A,N/A,1950
5,700_B_2-1,System,N/A,Supplemental,700_B_2-1: Individual 1 x 2 x 3 Window (without glass),N/A,N/A,1950
6,700_B_3-1,System,N/A,Supplemental,700_B_3-1: Individual 1 x 2 x 2 Window (without glass),N/A,N/A,1950
7,700_B_4-1,System,N/A,Supplemental,700_B_4-1: Individual 1 x 2 x 4 Door (without glass),N/A,N/A,1950
8,700_1_4-1,System,N/A,Supplemental,700_1_4-1: Individual 1 x 2 Bricks,N/A,N/A,1953
9,700_3_4-1,System,N/A,Supplemental,700_3_4-1: Individual 2 x 3 Bricks,N/A,N/A,1953
10,700_B-1,System,N/A,Supplemental,700_B-1: Early LEGO Windows/Doors (without Glass),N/A,N/A,1953
11,700_F-1,System,N/A,Supplemental,700_F-1: Automatic Binding Bricks - Small Brick Set  (Lego Mursten),N/A,N/A,1953
12,700_1-1,System,N/A,Town Plan,700_1-1: Gift Package (Lego Mursten),N/A,N/A,1954
13,700_16-1,System,N/A,Supplemental,700_16-1: Individual 2 x 8 Bricks,N/A,N/A,1954
14,700_2-1,System,N/A,Town Plan,700_2-1: Gift Package (Lego Mursten),N/A,N/A,1954
15,700_20-1,System,N/A,Supplemental,700_20-1: Individual 2 x 10 Bricks,N/A,N/A,1954
16,700_24-1,System,N/A,Supplemental,700_24-1: Individual 2 x 12 Bricks,N/A,N/A,1954
17,700_28-1,System,N/A,Supplemental,700_28-1: Individual 2 x 14 Bricks,N/A,N/A,1954
18,700_3-1,System,N/A,Town Plan,700_3-1: Gift Package (Lego Mursten),N/A,N/A,1954
19,700_3A-1,System,N/A,Town Plan,700_3A-1: Gift Package (Lego Mursten),N/A,N/A,1954
20,700_4-1,System,N/A,Town Plan,700_4-1: Gift Package (Lego Mursten),N/A,N/A,1954
21,700_5-1,System,N/A,Town Plan,700_5-1: Gift Package (Lego Mursten),N/A,N/A,1954
22,700_6-1,System,N/A,Town Plan,700_6-1: Gift Package (Lego Mursten),N/A,N/A,1954
23,700_C-1,System,N/A,Supplemental,700_C-1: Tall Classic Windows/Door (with Glass),N/A,N/A,1954
24,700_C_1-1,System,N/A,Supplemental,700_C_1-1: Individual 1 x 6 x 4 Panorama Window (with glass),N/A,N/A,1954
25,700_C_2-1,System,N/A,Supplemental,700_C_2-1: Individual 1 x 6 x 3 3-Pane Window (with glass),N/A,N/A,1954
26,700_C_3-1,System,N/A,Supplemental,700_C_3-1: Individual 1 x 6 x 3 Shutter Window (with glass),N/A,N/A,1954
27,700_C_4-1,System,N/A,Supplemental,700_C_4-1: Individual 1 x 4 x 3 Window (with glass),N/A,N/A,1954
28,700_C_5-1,System,N/A,Supplemental,700_C_5-1: Individual 1 x 3 x 3 Window (with glass),N/A,N/A,1954
29,700_C_6-1,System,N/A,Supplemental,700_C_6-1: Individual 1 x 2 x 4 Door (with glass),N/A,N/A,1954
30,700_E-1,System,N/A,Supplemental,700_E-1: Individual 10 x 20 Baseplate,N/A,N/A,1954
31,700_H-1,System,N/A,Supplemental,700_H-1: Individual 4 x 4 Corner Bricks,N/A,N/A,1954
32,1200-1,System,N/A,Town Plan,"1200-1: LEGO Town Plan Board, Large Plastic",N/A,N/A,1955
33,1210-2,System,N/A,Town Plan,1210-2: Small Store Set,N/A,N/A,1955
34,1211-2,System,N/A,Town Plan,1211-2: Small House Set,N/A,N/A,1955
35,1212-2,System,N/A,Town Plan,1212-2: Small House - Left Set,N/A,N/A,1955
36,1213-2,System,N/A,Town Plan,1213-2: Small House - Right Set,N/A,N/A,1955
37,1214-2,System,N/A,Supplemental,1214-2: Windows and Doors,N/A,N/A,1955
